lu_code,lu_desc,lu_color_HEX
-1,Non-Agricultural Land,#e1e1e1
0,No management applied,#cccccc
1,Asparagopsis taxiformis,#bee8ff
2,Precision Agriculture,#70a800
3,Ecological Grazing,#ff7f7f
